,Novice Low,Novice Mid,,Novice High,Intermediate Low,Intermediate Mid,,,Intermediate High,Advanced Low,Advanced Mid,Advanced High
2nd Grade,🌳 Emerging,,,,,,,,,,,
3rd Grade,🌳 Emerging,,,,,,,,,,,
4th Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
5th Grade,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,,,
6th Grade,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,,
7th Grade,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,
8th Grade,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,
Honors Spanish,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,
Honors Intermediate Spanish,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,
Honors Advanced Spanish,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,
AP Spanish ,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,
Interpersonal Written Interaction – Full Spectrum,Exchanges meaning by copying or reproducing familiar words and phrases. Relies heavily on models and may switch to another language to maintain interaction.,"Participates in simple written exchanges using short, practiced sentences. Can read and respond to highly predictable messages on familiar topics.",,"Manages basic written interactions by asking and answering simple questions and recombining familiar language, though exchanges remain short and uneven.",Creates with language in written exchanges to meet everyday needs. Can maintain back-and-forth communication using connected sentences.,"Sustains written interaction using strings of sentences, clarifying meaning and exchanging information across familiar contexts.",,,"Participates in written exchanges with emerging paragraph-level organization, though breakdowns may occur when complexity increases.","Sustains paragraph-length written interaction, narrating and describing across time frames in exchanges.","Engages in extended written interaction with detail, cohesion, and clarity, adjusting language to context and audience.","Writes interactively with precision, nuance, and stylistic control, maintaining coherent and purposeful exchanges across contexts."
,"Interpertive Note: Written interpersonal growth is visible in students’ ability to respond appropriately, build on others’ ideas, and maintain interaction, not just in sentence accuracy.",,,,,,,,,,,
1st Grade,🌳 Emerging,,,,,,,,,,,
2nd Grade,🌳 Emerging,,,,,,,,,,,
3rd Grade,🌳 Emerging,,,,,,,,,,,
4th Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
5th Grade,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,,,
6th Grade,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,,
7th Grade,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,
8th Grade,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,
Honors Spanish,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,
Honors Intermediate Spanish,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,
Honors Advanced Spanish,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,
AP Spanish ,,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,
PRESENTATIONAL COMMUNICATION - (Speaking & Writing – One-way production),,,,,,,,,,,,
Presentational Speaking – Full Spectrum,Produces lists and memorized phrases.,Presents basic information using short sentences on familiar topics.,,Produces connected sentences to express personal meaning.,Creates with language to present on everyday topics.,Sustains organized presentations using sentence strings.,,,Presents with emerging paragraph-level organization.,Produces paragraph-length presentations across time frames.,"Produces detailed, organized presentations on personal and public topics.","Presents with clarity, precision, and rhetorical control."
1st Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
2nd Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
3rd Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
4th Grade,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,,,
5th Grade,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,,
6th Grade,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,
7th Grade,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,
8th Grade,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,
Honors Spanish,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,
Honors Intermediate Spanish,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,
Honors Advanced Spanish,,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,
AP Spanish ,,,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,
Presentational Writing – Full Spectrum,Copies or reproduces words and phrases.,Writes simple sentences and short messages on familiar topics.,,Begins short paragraph-like writing through recombination.,Writes connected sentences to communicate meaning.,Writes organized texts using sentence strings.,,,Writes with emerging paragraph structure and narration.,Writes paragraph-length texts across time frames.,"Writes detailed, organized texts with cohesion and clarity.","Writes with precision, nuance, and stylistic control."
1st Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
2nd Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
3rd Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
4th Grade,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,,,
5th Grade,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,,
6th Grade,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,
7th Grade,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,
8th Grade,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,
Honors Spanish,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,
Honors Intermediate Spanish,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,
Honors Advanced Spanish,,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,
AP Spanish ,,,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,
